from,to,value
Astel,Gura,9.43
Ayame,Gura,8.87
AZki,Gura,18.11
Baelz,Gura,37.68
Botan,Gura,12.69
Calli,Gura,42.05
Choco,Gura,15.04
Fauna,Gura,40.49
Flare,Gura,10.06
Fubuki,Gura,11.27
Haato,Gura,20.68
Ina,Gura,42.92
Iofi,Gura,12.88
IRyS,Gura,39.25
Izuru,Gura,5.41
Kanata,Gura,9.02
Kiara,Gura,37.54
Korone,Gura,12.96
Kronii,Gura,35.49
Lamy,Gura,9.42
Luna,Gura,11.86
Marine,Gura,11.5
Matsuri,Gura,12.18
Mel,Gura,16.45
Miko,Gura,9.19
Mio,Gura,8.29
Miyabi,Gura,5.07
Moona,Gura,16.21
Mumei,Gura,40.22
Nene,Gura,12.87
Noel,Gura,8.24
Oga,Gura,6.63
Okayu,Gura,7.97
Ollie,Gura,25.12
Pekora,Gura,10.72
Polka,Gura,12.48
Reine,Gura,26
Rikka,Gura,8.55
Risu,Gura,15.03
Roberu,Gura,5.91
Roboco,Gura,14.25
Rushia,Gura,7.72
Sana,Gura,41.35
Shien,Gura,6.9
Shion,Gura,10.94
Sora,Gura,14.14
Subaru,Gura,6.82
Suisei,Gura,9.11
Temma,Gura,7.42
Towa,Gura,14.83
Watame,Gura,10.41
Aki,Haato,22.93
Amelia,Haato,8.37
Anya,Haato,16.57
Aqua,Haato,15.67
Aruran,Haato,10.03
Astel,Haato,7.15
Ayame,Haato,11.93
AZki,Haato,24.99
Baelz,Haato,9.34
Botan,Haato,15.51
Calli,Haato,7.29
Choco,Haato,25.78
Fauna,Haato,8.12
Flare,Haato,15.66
Fubuki,Haato,12.21
Gura,Haato,6.64
Ina,Haato,7.53
Iofi,Haato,11.06
IRyS,Haato,9.62
Izuru,Haato,4.65
Kanata,Haato,15.86
Kiara,Haato,9.24
Korone,Haato,13.12
Kronii,Haato,6.65
Lamy,Haato,16.03
Luna,Haato,18.18
Marine,Haato,16.5
Matsuri,Haato,20.14
Mel,Haato,27.59
Miko,Haato,13.2
Mio,Haato,15.76
Miyabi,Haato,4.89
Moona,Haato,11.19
Mumei,Haato,7.47
Nene,Haato,20.84
Noel,Haato,13.48
Oga,Haato,8.53
Okayu,Haato,12.06
Ollie,Haato,10.01
Pekora,Haato,10.06
Polka,Haato,18.43
Reine,Haato,10.66
Rikka,Haato,5.09
Risu,Haato,10.35
Roberu,Haato,7.72
Roboco,Haato,22.46
Rushia,Haato,13.63
Sana,Haato,9.22
Shien,Haato,4.9
Shion,Haato,20.36
Sora,Haato,22.92
Subaru,Haato,12.81
Suisei,Haato,15.71
Temma,Haato,6.6
Towa,Haato,17.7
Watame,Haato,14.42
Aki,Ina,17.52
Amelia,Ina,45.75
Anya,Ina,23.76
Aqua,Ina,8.4
Aruran,Ina,10.49
Astel,Ina,10.53
Ayame,Ina,7.71
AZki,Ina,19.31
Baelz,Ina,35.77
Botan,Ina,11.5
Calli,Ina,40.66
Choco,Ina,13.01
Fauna,Ina,42.12
Flare,Ina,9.89
Fubuki,Ina,10.31
Gura,Ina,33.38
Haato,Ina,18.22
Iofi,Ina,14.03
IRyS,Ina,39.32
Izuru,Ina,6
Kanata,Ina,7.4
Kiara,Ina,40.92
Korone,Ina,11.05
Kronii,Ina,34.91
Lamy,Ina,8.03
Luna,Ina,11.04
Marine,Ina,8.38
Matsuri,Ina,11.17
Mel,Ina,16.98
Miko,Ina,7.3
Mio,Ina,7.94
Miyabi,Ina,5.43
Moona,Ina,15.65
Mumei,Ina,37.82
Nene,Ina,11.67
Noel,Ina,6.66
Oga,Ina,7.75
Okayu,Ina,6.94
Ollie,Ina,24.82
Pekora,Ina,8.81
Polka,Ina,11.68
Reine,Ina,30.59
Rikka,Ina,7.73
Risu,Ina,14.98
Roberu,Ina,6.2
Roboco,Ina,14.6
Rushia,Ina,6.11
Sana,Ina,44.3
Shien,Ina,7.44
Shion,Ina,9.35
Sora,Ina,14.3
Subaru,Ina,5.49
Suisei,Ina,9.18
Temma,Ina,7.69
Towa,Ina,15.1
Watame,Ina,10.11
Aki,Iofi,6.36
Amelia,Iofi,2.48
Anya,Iofi,23.61
Aqua,Iofi,2.37
