from,to,value
Watame,Ina,13.93
Aki,Iofi,18.12
Amelia,Iofi,6.43
Anya,Iofi,29.98
Aqua,Iofi,7.53
Aruran,Iofi,14.28
Astel,Iofi,11.59
Ayame,Iofi,7.58
AZki,Iofi,24.14
Baelz,Iofi,8.95
Botan,Iofi,10.08
Calli,Iofi,5.58
Choco,Iofi,14.69
Fauna,Iofi,7.24
Flare,Iofi,8.55
Fubuki,Iofi,6.94
Gura,Iofi,3.96
Haato,Iofi,9.35
Ina,Iofi,7.84
IRyS,Iofi,8.42
Izuru,Iofi,7.01
Kanata,Iofi,8.96
Kiara,Iofi,7.64
Korone,Iofi,5.82
Kronii,Iofi,6.68
Lamy,Iofi,8.77
Luna,Iofi,11.5
Marine,Iofi,6.36
Matsuri,Iofi,11.82
Mel,Iofi,18.42
Miko,Iofi,6.39
Mio,Iofi,10.02
Miyabi,Iofi,8.33
Moona,Iofi,18.23
Mumei,Iofi,7.83
Nene,Iofi,11.7
Noel,Iofi,5.96
Oga,Iofi,10.16
Okayu,Iofi,7.1
Ollie,Iofi,14.66
Pekora,Iofi,5.07
Polka,Iofi,11.49
Reine,Iofi,22.84
Rikka,Iofi,10.02
Risu,Iofi,31.48
Roberu,Iofi,8.69
Roboco,Iofi,15.41
Rushia,Iofi,5.07
Sana,Iofi,9.35
Shien,Iofi,7.59
Shion,Iofi,9.28
Sora,Iofi,16.5
Subaru,Iofi,7.52
Suisei,Iofi,8.35
Temma,Iofi,8.72
Towa,Iofi,10.92
Watame,Iofi,8.51
Aki,IRyS,32.08
Amelia,IRyS,30.51
Anya,IRyS,34.63
Aqua,IRyS,15.11
Aruran,IRyS,20.87
Astel,IRyS,21.55
Ayame,IRyS,16.19
AZki,IRyS,36.32
Baelz,IRyS,34.41
Botan,IRyS,20.07
Calli,IRyS,30.48
