from,to,value
Mel,Matsuri,39.2
Miko,Matsuri,18.98
Mio,Matsuri,24.89
Nene,Matsuri,26.68
Noel,Matsuri,18.93
Okayu,Matsuri,19.95
Pekora,Matsuri,19.56
Polka,Matsuri,23.92
Roboco,Matsuri,26.54
Shion,Matsuri,21.08
Sora,Matsuri,22.94
Subaru,Matsuri,13.43
Suisei,Matsuri,22.1
Towa,Matsuri,24.5
Watame,Matsuri,17.78
Aki,Mel,12.14
Aqua,Mel,8.52
AZki,Mel,27.37
Botan,Mel,6.11
Chloe,Mel,6.35
Choco,Mel,11.42
Flare,Mel,6.59
Fubuki,Mel,6.12
Haato,Mel,11.81
Iroha,Mel,6.94
Kanata,Mel,6.39
Korone,Mel,4.74
Koyori,Mel,5.2
Lamy,Mel,10.14
Laplus,Mel,7.35
Lui,Mel,6.24
Luna,Mel,8.72
Marine,Mel,6.56
Matsuri,Mel,10.86
Miko,Mel,4.76
Mio,Mel,6.8
Nene,Mel,10.27
Noel,Mel,5.81
Okayu,Mel,7.44
Pekora,Mel,4.66
Polka,Mel,7.65
Roboco,Mel,14.69
Shion,Mel,8.04
Sora,Mel,11.74
Subaru,Mel,3.72
Suisei,Mel,7.52
Towa,Mel,9.43
Watame,Mel,6.69
Aki,Miko,38.94
Aqua,Miko,31.97
AZki,Miko,36.57
Botan,Miko,32.78
Chloe,Miko,31.77
Choco,Miko,41.56
Flare,Miko,37.04
Fubuki,Miko,36.72
Haato,Miko,42.22
Iroha,Miko,33.84
Kanata,Miko,30.67
Korone,Miko,33.73
Koyori,Miko,37.85
Lamy,Miko,31.59
Laplus,Miko,38.59
Lui,Miko,31.98
Luna,Miko,37.66
Marine,Miko,38.58
Matsuri,Miko,46.4
Mel,Miko,42.04
Mio,Miko,46.39
Nene,Miko,40.27
Noel,Miko,34.43
Okayu,Miko,30.87
Pekora,Miko,38.96
Polka,Miko,33.34
Roboco,Miko,32.68
Shion,Miko,36.88
Sora,Miko,33.33
Subaru,Miko,29.81
Suisei,Miko,42.39
Towa,Miko,30.93
Watame,Miko,32.6
Aki,Mio,24.77
Aqua,Mio,17.25
AZki,Mio,24.04
Botan,Mio,22.01
Chloe,Mio,16.92
Choco,Mio,26
Flare,Mio,18.79
Fubuki,Mio,22.43
Haato,Mio,21.68
Iroha,Mio,18.72
Kanata,Mio,17.57
Korone,Mio,18.53
Koyori,Mio,17.81
Lamy,Mio,20.1
Laplus,Mio,15.34
Lui,Mio,17.92
Luna,Mio,19.75
Marine,Mio,15.77
Matsuri,Mio,21.93
Mel,Mio,21.61
Miko,Mio,16.71
Nene,Mio,19.06
Noel,Mio,17.7
Okayu,Mio,23.53
Pekora,Mio,13.37
Polka,Mio,20.22
Roboco,Mio,24.45
Shion,Mio,19.92
Sora,Mio,20.41
Subaru,Mio,16.31
Suisei,Mio,18.62
Towa,Mio,18.17
Watame,Mio,15.85
Aki,Nene,13.86
Aqua,Nene,8.41
AZki,Nene,16.11
Botan,Nene,9.87
Chloe,Nene,8.14
Choco,Nene,11.77
Flare,Nene,9.58
Fubuki,Nene,7.14
Haato,Nene,12.72
Iroha,Nene,9.28
Kanata,Nene,6.71
Korone,Nene,6.42
Koyori,Nene,7.08
Lamy,Nene,14.19
Laplus,Nene,9.74
Lui,Nene,7.59
Luna,Nene,10.1
Marine,Nene,7.89
Matsuri,Nene,10.97
Mel,Nene,15.24
Miko,Nene,6.78
Mio,Nene,8.9
Noel,Nene,7.79
Okayu,Nene,7.26
Pekora,Nene,6.07
Polka,Nene,12.53
Roboco,Nene,11.4
Shion,Nene,9.4
Sora,Nene,10.18
Subaru,Nene,5.26
Suisei,Nene,8.49
Towa,Nene,10.26
Watame,Nene,7.51
Aki,Noel,17.38
Aqua,Noel,12.62
AZki,Noel,16.37
Botan,Noel,13.47
Chloe,Noel,17.19
Choco,Noel,21.37
Flare,Noel,17.78
Fubuki,Noel,12.49
Haato,Noel,17.44
Iroha,Noel,15.68
Kanata,Noel,12.78
Korone,Noel,13.65
Koyori,Noel,14.15
Lamy,Noel,22.3
Laplus,Noel,12.68
Lui,Noel,17.17
Luna,Noel,17.11
Marine,Noel,17.34
Matsuri,Noel,15.73
Mel,Noel,17.42
Miko,Noel,11.7
Mio,Noel,16.7
Nene,Noel,15.74
Okayu,Noel,13.48
Pekora,Noel,13.12
Polka,Noel,15.15
Roboco,Noel,16.23
Shion,Noel,16.48
Sora,Noel,13.69
Subaru,Noel,12.27
Suisei,Noel,11.18
Towa,Noel,12.16
Watame,Noel,14.45
Aki,Okayu,12.32
Aqua,Okayu,11.99
AZki,Okayu,17.65
Botan,Okayu,14.38
Chloe,Okayu,12.53
Choco,Okayu,18.5
Flare,Okayu,12.22
Fubuki,Okayu,15.27
Haato,Okayu,12.84
Iroha,Okayu,11.45
Kanata,Okayu,15.02
Korone,Okayu,16.58
Koyori,Okayu,10.41
Lamy,Okayu,13.34
Laplus,Okayu,11.85
Lui,Okayu,12.06
Luna,Okayu,18.29
Marine,Okayu,14.03
Matsuri,Okayu,15.24
Mel,Okayu,20.52
Miko,Okayu,9.65
Mio,Okayu,20.42
Nene,Okayu,13.48
Noel,Okayu,12.4
Pekora,Okayu,9.13
Polka,Okayu,14.28
Roboco,Okayu,17.21
Shion,Okayu,15.68
Sora,Okayu,12.97
Subaru,Okayu,12.85
Suisei,Okayu,11.84
Towa,Okayu,12.92
Watame,Okayu,11.05
Aki,Pekora,28.34
Aqua,Pekora,29.44
AZki,Pekora,29.92
Botan,Pekora,27.97
Chloe,Pekora,29.48
Choco,Pekora,33.15
Flare,Pekora,28.21
Fubuki,Pekora,31.56
Haato,Pekora,34.34
Iroha,Pekora,26.82
Kanata,Pekora,26.52
Korone,Pekora,29.08
Koyori,Pekora,31.65
Lamy,Pekora,27.53
Laplus,Pekora,36.93
Lui,Pekora,27.53
Luna,Pekora,35.22
Marine,Pekora,37.25
Matsuri,Pekora,41.65
Mel,Pekora,35.85
Miko,Pekora,33.94
Mio,Pekora,32.32
Nene,Pekora,31.42
Noel,Pekora,33.62
Okayu,Pekora,25.44
Polka,Pekora,29.12
Roboco,Pekora,24.78
Shion,Pekora,40.32
Sora,Pekora,25.43
Subaru,Pekora,24.92
Suisei,Pekora,29.11
