from,to,value
Chloe,Luna,24.02
Choco,Luna,30.09
Flare,Luna,28.39
Fubuki,Luna,18.98
Hajime,Luna,21.53
Iroha,Luna,26.69
Kanade,Luna,18.96
Kanata,Luna,30.15
Korone,Luna,21.32
Koyori,Luna,19.66
Lamy,Luna,26.13
Laplus,Luna,25.44
Lui,Luna,20.89
Marine,Luna,18.49
Matsuri,Luna,26.18
Mel,Luna,38.58
Miko,Luna,19.05
Mio,Luna,26.9
Nene,Luna,31.18
Noel,Luna,22.91
Okayu,Luna,21.92
Pekora,Luna,15.41
Polka,Luna,32.43
Raden,Luna,16.57
Ririka,Luna,20.66
Roboco,Luna,39.63
Shion,Luna,27.24
Sora,Luna,26.73
Subaru,Luna,19.89
Suisei,Luna,17
Towa,Luna,22.87
Watame,Luna,26.19
Aki,Marine,17.33
Ao,Marine,21.98
Aqua,Marine,17.96
Ayame,Marine,18.96
AZki,Marine,27.75
Botan,Marine,24.99
Chloe,Marine,26.61
Choco,Marine,24.06
Flare,Marine,31.95
Fubuki,Marine,18.91
Hajime,Marine,22.33
Iroha,Marine,25.21
Kanade,Marine,19.47
Kanata,Marine,31
Korone,Marine,21.84
Koyori,Marine,20.44
Lamy,Marine,27.07
Laplus,Marine,25.11
Lui,Marine,22.48
Luna,Marine,26.18
Matsuri,Marine,24.55
Mel,Marine,29.16
Miko,Marine,21.64
Mio,Marine,24.36
Nene,Marine,29.33
Noel,Marine,29.41
Okayu,Marine,23.46
Pekora,Marine,20.34
Polka,Marine,26.45
Raden,Marine,19.68
Ririka,Marine,21.16
Roboco,Marine,28.76
Shion,Marine,29.97
Sora,Marine,21.88
Subaru,Marine,19.66
Suisei,Marine,22.05
Towa,Marine,21.36
Watame,Marine,22.44
Aki,Matsuri,14.79
Ao,Matsuri,17.04
Aqua,Matsuri,12.43
Ayame,Matsuri,16.03
AZki,Matsuri,21.58
Botan,Matsuri,19.09
Chloe,Matsuri,18.42
Choco,Matsuri,21.1
Flare,Matsuri,19.58
Fubuki,Matsuri,14.28
Hajime,Matsuri,15.46
Iroha,Matsuri,20.27
Kanade,Matsuri,14.51
Kanata,Matsuri,20.65
Korone,Matsuri,12.75
Koyori,Matsuri,13.19
Lamy,Matsuri,18.71
Laplus,Matsuri,25.7
Lui,Matsuri,14.07
Luna,Matsuri,19.19
Marine,Matsuri,12.71
Mel,Matsuri,26.12
Miko,Matsuri,11.99
Mio,Matsuri,20.01
Nene,Matsuri,20.53
Noel,Matsuri,17.95
Okayu,Matsuri,16.21
Pekora,Matsuri,9.84
Polka,Matsuri,21.07
Raden,Matsuri,13.59
Ririka,Matsuri,15.85
Roboco,Matsuri,31.8
Shion,Matsuri,21.14
Sora,Matsuri,19.18
Subaru,Matsuri,12.24
Suisei,Matsuri,15.03
Towa,Matsuri,18.61
Watame,Matsuri,15.5
Aki,Mel,16.39
Ao,Mel,19.2
Aqua,Mel,11.82
Ayame,Mel,17.74
AZki,Mel,28.17
Botan,Mel,22.92
Chloe,Mel,20.72
Choco,Mel,24.48
Flare,Mel,23.82
Fubuki,Mel,15.71
Hajime,Mel,17.47
Iroha,Mel,22.72
Kanade,Mel,16.24
Kanata,Mel,21.94
Korone,Mel,15.07
Koyori,Mel,14.8
Lamy,Mel,21.48
Laplus,Mel,27.99
Lui,Mel,15.06
Luna,Mel,26.61
Marine,Mel,14.21
Matsuri,Mel,24.58
Miko,Mel,13.54
Mio,Mel,23.18
Nene,Mel,24.97
Noel,Mel,19.92
Okayu,Mel,19.39
Pekora,Mel,10.67
Polka,Mel,23.04
Raden,Mel,14.19
Ririka,Mel,18.26
Roboco,Mel,41.26
Shion,Mel,22.87
Sora,Mel,24.24
Subaru,Mel,13.18
Suisei,Mel,14.57
Towa,Mel,21.32
Watame,Mel,19.28
Aki,Miko,33.13
Ao,Miko,41.27
Aqua,Miko,29.18
Ayame,Miko,31.88
AZki,Miko,49.03
Botan,Miko,45.01
Chloe,Miko,44.23
Choco,Miko,46.2
Flare,Miko,54.16
Fubuki,Miko,39.57
Hajime,Miko,42.57
Iroha,Miko,49.35
Kanade,Miko,38.28
Kanata,Miko,49.81
Korone,Miko,40.35
Koyori,Miko,41.31
Lamy,Miko,46.93
Laplus,Miko,37.74
Lui,Miko,41.44
Luna,Miko,50.83
Marine,Miko,40.78
Matsuri,Miko,43.64
Mel,Miko,52.39
Mio,Miko,50.17
Nene,Miko,51.75
Noel,Miko,45
Okayu,Miko,37.95
Pekora,Miko,34.5
Polka,Miko,49.35
Raden,Miko,35.35
Ririka,Miko,39.73
Roboco,Miko,51.79
Shion,Miko,48.66
Sora,Miko,41.6
Subaru,Miko,41.82
Suisei,Miko,41.69
Towa,Miko,38.63
Watame,Miko,44.6
Aki,Mio,16.65
Ao,Mio,21.47
Aqua,Mio,12.43
Ayame,Mio,20.85
AZki,Mio,31.17
Botan,Mio,28.41
Chloe,Mio,22.94
Choco,Mio,26.07
Flare,Mio,30.01
Fubuki,Mio,21.71
Hajime,Mio,19.94
Iroha,Mio,28.4
Kanade,Mio,17.63
Kanata,Mio,24.99
Korone,Mio,20.22
Koyori,Mio,19.23
Lamy,Mio,26.59
Laplus,Mio,26.03
Lui,Mio,21.4
Luna,Mio,25.19
Marine,Mio,16.11
Matsuri,Mio,25.57
Mel,Mio,31.47
Miko,Mio,17.61
Nene,Mio,25.57
Noel,Mio,23.08
Okayu,Mio,32.66
Pekora,Mio,12.52
Polka,Mio,29.1
Raden,Mio,17.47
Ririka,Mio,19.5
Roboco,Mio,35.68
Shion,Mio,25.56
Sora,Mio,24.75
Subaru,Mio,20.47
Suisei,Mio,18.39
Towa,Mio,23.18
Watame,Mio,23.27
Aki,Nene,16.37
Ao,Nene,20.67
Aqua,Nene,12.82
Ayame,Nene,17.64
AZki,Nene,26.17
Botan,Nene,31.2
Chloe,Nene,23.49
Choco,Nene,25.02
Flare,Nene,25.68
Fubuki,Nene,16.45
Hajime,Nene,19.9
Iroha,Nene,25.42
Kanade,Nene,17.94
Kanata,Nene,26.3
Korone,Nene,18.02
Koyori,Nene,17.26
Lamy,Nene,30.22
Laplus,Nene,22.3
Lui,Nene,18.52
Luna,Nene,27.15
Marine,Nene,18.04
Matsuri,Nene,24.39
Mel,Nene,31.53
Miko,Nene,16.89
Mio,Nene,23.78
Noel,Nene,22.38
Okayu,Nene,18.82
Pekora,Nene,13.82
Polka,Nene,29.54
Raden,Nene,15.98
Ririka,Nene,19.89
Roboco,Nene,34
Shion,Nene,27
Sora,Nene,22.65
Subaru,Nene,16.3
Suisei,Nene,16.71
Towa,Nene,21.47
Watame,Nene,22.54
Aki,Noel,17.17
Ao,Noel,22.11
Aqua,Noel,14.37
Ayame,Noel,17.64
AZki,Noel,28.21
Botan,Noel,26.09
Chloe,Noel,26.75
Choco,Noel,26.28
Flare,Noel,29.63
Fubuki,Noel,18.75
Hajime,Noel,20.47
Iroha,Noel,27.69
Kanade,Noel,17.35
Kanata,Noel,28.6
Korone,Noel,19.12
Koyori,Noel,19.14
Lamy,Noel,28.62
Laplus,Noel,23.87
Lui,Noel,23.1
Luna,Noel,25.26
Marine,Noel,22.9
Matsuri,Noel,27
Mel,Noel,31.84
Miko,Noel,18.6
Mio,Noel,27.17
Nene,Noel,28.33
Okayu,Noel,24.15
Pekora,Noel,15.49
Polka,Noel,27.31
Raden,Noel,18.31
Ririka,Noel,21.06
Roboco,Noel,35.87
Shion,Noel,25.17
Sora,Noel,24.35
Subaru,Noel,18.7
Suisei,Noel,19.15
