from,to,value
Kanade,Noel,6.17
Kanata,Noel,8.08
Korone,Noel,5.36
Koyori,Noel,8.98
Lamy,Noel,11.87
Laplus,Noel,6.03
Lui,Noel,11.55
Luna,Noel,9.07
Marine,Noel,13.63
Matsuri,Noel,11.69
Miko,Noel,5.94
Mio,Noel,9.21
Nene,Noel,10.38
Okayu,Noel,7.14
Pekora,Noel,7.83
Polka,Noel,8.4
Raden,Noel,7.45
Ririka,Noel,11.35
Roboco,Noel,13.22
Shion,Noel,4.1
Sora,Noel,9.76
Subaru,Noel,7.57
Towa,Noel,6.2
Watame,Noel,6.68
Aki,Okayu,7.46
Ao,Okayu,10.25
Aqua,Okayu,7.96
Ayame,Okayu,8.45
AZki,Okayu,8.64
Botan,Okayu,11.15
Chloe,Okayu,10.68
Choco,Okayu,17.04
Flare,Okayu,11.37
Fubuki,Okayu,13.63
Haato,Okayu,10.4
Hajime,Okayu,10.32
Iroha,Okayu,11.12
Kanade,Okayu,6.57
Kanata,Okayu,10.13
Korone,Okayu,15.92
Koyori,Okayu,10.6
Lamy,Okayu,10.27
Laplus,Okayu,6.76
Lui,Okayu,14.51
Luna,Okayu,9.6
Marine,Okayu,8.7
Matsuri,Okayu,13.96
Miko,Okayu,7.05
Mio,Okayu,19.87
Nene,Okayu,10.52
Noel,Okayu,12
Pekora,Okayu,6.11
Polka,Okayu,13.2
Raden,Okayu,7.93
Ririka,Okayu,8.56
Roboco,Okayu,14.24
Shion,Okayu,8.46
Sora,Okayu,9.58
Subaru,Okayu,12.93
Towa,Okayu,9.48
Watame,Okayu,8.14
Aki,Pekora,14.36
Ao,Pekora,12.28
Aqua,Pekora,16.28
Ayame,Pekora,10.56
AZki,Pekora,13.73
Botan,Pekora,13.1
Chloe,Pekora,15.51
Choco,Pekora,16.22
Flare,Pekora,20.95
Fubuki,Pekora,12.32
Haato,Pekora,18.69
Hajime,Pekora,16.88
Iroha,Pekora,14.13
Kanade,Pekora,13.66
Kanata,Pekora,17.39
Korone,Pekora,14.12
Koyori,Pekora,18.51
Lamy,Pekora,15.87
Laplus,Pekora,12.79
Lui,Pekora,17.06
Luna,Pekora,20.12
Marine,Pekora,25.65
Matsuri,Pekora,14.37
Miko,Pekora,15.73
Mio,Pekora,13.26
Nene,Pekora,17.91
Noel,Pekora,23
Okayu,Pekora,10.69
Polka,Pekora,12.12
Raden,Pekora,12.08
Ririka,Pekora,17.26
Roboco,Pekora,18.19
Shion,Pekora,18.21
Sora,Pekora,14.11
Subaru,Pekora,16.2
